year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade,risk_score,crisis_type,region,summary
2020,POL,Poland,8417.0,6627,MEDIUM,1.27,2020,0.11,wildfire,Northern/Eastern Europe,"In 2020, Poland recorded 6627 forest fires burning 8417 hectares. Severity: MEDIUM. Average fire size: 1.27 ha. Risk score: 0.11. This was a medium severity wildfire event in 2020s Europe."
2004,POL,Poland,3782.0,7006,LOW,0.54,2000,0.11,wildfire,Northern/Eastern Europe,"In 2004, Poland recorded 7006 forest fires burning 3782 hectares. Severity: LOW. Average fire size: 0.54 ha. Risk score: 0.11. This was a low severity wildfire event in 2000s Europe."
2020,DZA,Algeria,43918.0,3493,HIGH,12.57,2020,0.108,wildfire,Southern Europe,"In 2020, Algeria recorded 3493 forest fires burning 43918 hectares. Severity: HIGH. Average fire size: 12.57 ha. Risk score: 0.108. This was a high severity wildfire event in 2020s Europe."
2022,POL,Poland,2853.0,6999,LOW,0.41,2020,0.108,wildfire,Northern/Eastern Europe,"In 2022, Poland recorded 6999 forest fires burning 2853 hectares. Severity: LOW. Average fire size: 0.41 ha. Risk score: 0.108. This was a low severity wildfire event in 2020s Europe."
2002,SWE,Sweden,2626.0,6490,LOW,0.4,2000,0.101,wildfire,Northern/Eastern Europe,"In 2002, Sweden recorded 6490 forest fires burning 2626 hectares. Severity: LOW. Average fire size: 0.4 ha. Risk score: 0.101. This was a low severity wildfire event in 2000s Europe."
2000,BGR,Bulgaria,57406.0,1710,HIGH,33.57,2000,0.101,wildfire,Northern/Eastern Europe,"In 2000, Bulgaria recorded 1710 forest fires burning 57406 hectares. Severity: HIGH. Average fire size: 33.57 ha. Risk score: 0.101. This was a high severity wildfire event in 2000s Europe."
1998,POL,Poland,4222.0,6165,LOW,0.68,1990,0.098,wildfire,Northern/Eastern Europe,"In 1998, Poland recorded 6165 forest fires burning 4222 hectares. Severity: LOW. Average fire size: 0.68 ha. Risk score: 0.098. This was a low severity wildfire event in 1990s Europe."
1990,POL,Poland,7341.0,5756,MEDIUM,1.28,1990,0.095,wildfire,Northern/Eastern Europe,"In 1990, Poland recorded 5756 forest fires burning 7341 hectares. Severity: MEDIUM. Average fire size: 1.28 ha. Risk score: 0.095. This was a medium severity wildfire event in 1990s Europe."
2017,HRV,Croatia,48543.0,329,HIGH,147.55,2010,0.093,wildfire,Northern/Eastern Europe,"In 2017, Croatia recorded 329 forest fires burning 48543 hectares. Severity: HIGH. Average fire size: 147.55 ha. Risk score: 0.093. This was a high severity wildfire event in 2010s Europe."
2024,TUR,Turkey,27485.0,3797,HIGH,7.24,2020,0.091,wildfire,Southern Europe,"In 2024, Turkey recorded 3797 forest fires burning 27485 hectares. Severity: HIGH. Average fire size: 7.24 ha. Risk score: 0.091. This was a high severity wildfire event in 2020s Europe."
2007,UKR,Ukraine,12731.0,5024,MEDIUM,2.53,2000,0.091,wildfire,Northern/Eastern Europe,"In 2007, Ukraine recorded 5024 forest fires burning 12731 hectares. Severity: MEDIUM. Average fire size: 2.53 ha. Risk score: 0.091. This was a medium severity wildfire event in 2000s Europe."
2024,POL,Poland,1357.8,5857,LOW,0.23,2020,0.09,wildfire,Northern/Eastern Europe,"In 2024, Poland recorded 5857 forest fires burning 1357 hectares. Severity: LOW. Average fire size: 0.23 ha. Risk score: 0.09. This was a low severity wildfire event in 2020s Europe."
2008,SWE,Sweden,6113.0,5420,MEDIUM,1.13,2000,0.089,wildfire,Northern/Eastern Europe,"In 2008, Sweden recorded 5420 forest fires burning 6113 hectares. Severity: MEDIUM. Average fire size: 1.13 ha. Risk score: 0.089. This was a medium severity wildfire event in 2000s Europe."
